customer_id,product_id,quantity,price
73973,920,3,411.28
84362,206,10,234.1
24619,7112,5,337.13
5210,3920,7,104.58
74271,4992,2,92.0
20660,1788,8,302.64
3896,1195,5,143.12
82380,9591,9,288.51
3730,3215,2,336.76
42881,8083,3,301.13
59635,8687,2,366.53
88615,787,2,232.89
15535,4106,7,371.23
40807,2013,9,159.35
14560,5387,1,432.29
65615,5540,7,72.3
39851,3147,5,61.02
7358,3858,5,361.17
24919,9616,1,326.98
58054,3395,8,267.76
6902,1086,10,228.34
11963,9508,8,359.9
6524,8650,8,321.12
80405,8700,6,420.51
37727,6654,8,37.72
66635,9568,9,485.13
17139,7502,6,310.41
49650,9872,3,330.92
82504,949,9,307.2
59501,9227,8,164.72
4824,7690,2,74.74
516,7170,3,129.67
49813,2065,9,487.97
58454,8106,6,487.94
54206,1297,2,64.78
51935,1307,2,212.08
34767,1325,2,166.76
32089,3837,2,318.67
16780,599,8,169.12
28670,6338,2,364.48
308,5224,1,292.41
28832,8268,2,344.77
47357,2959,5,145.11
56684,4573,3,148.66
85515,2656,10,491.45
43647,4312,9,268.53
83597,2669,7,441.47
14597,178,8,143.71
11677,1128,3,108.82
26332,229,3,337.08
67314,4967,9,175.41
80136,9041,9,316.88
2414,3422,8,234.92
59721,1635,3,134.14
19791,5390,7,340.04
55338,721,5,127.37
36183,1848,4,335.65
47000,4781,1,96.46
34530,5569,8,205.09
30783,9538,1,499.76
25495,4706,8,144.08
78258,8698,5,488.88
13599,7254,9,387.2
31911,7285,6,157.13
99526,1142,9,290.51
27095,4185,6,237.19
45027,5131,1,130.51
98619,2800,2,18.42
35526,2842,4,444.93
28886,9947,7,119.06
33488,2839,5,285.85
95746,7589,8,133.51
71622,293,3,413.39
26988,1385,1,480.03
90273,6788,4,117.53
93715,1548,10,134.68
93649,8119,5,209.31
15194,4487,8,287.99
13919,7058,3,435.95
81654,1432,3,189.68
75917,4160,8,217.79
66382,6960,4,313.56
45801,4188,7,477.88
86243,9498,4,63.48
55879,3132,1,173.09
38197,5544,5,423.05
57650,2829,4,334.96
23237,4710,8,422.32
71261,5928,6,364.16
87370,8087,5,334.8
56155,9703,3,478.44
19074,5390,1,275.66
92245,4945,7,96.02
53555,2744,10,308.63
76241,1231,1,136.8
68386,1313,6,19.99
90881,4184,8,220.4
44860,1825,1,234.11
35741,5893,4,91.13
80379,2541,9,276.58
40598,3628,2,451.02
38893,2465,2,313.67
23941,5429,6,92.61
58361,4006,1,247.95
88357,3844,4,90.52
81289,2993,8,338.17
67983,5191,7,345.4
20928,3146,2,339.61
62806,4528,9,487.36
4696,7368,6,86.51
97273,9231,4,241.24
8573,5852,9,347.79
52704,7653,8,403.25
672,2682,8,308.47
78438,2387,10,280.1
99540,4976,7,221.17
43833,8554,6,177.26
41616,4310,3,47.75
11003,2719,10,462.14
49574,8015,5,470.25
52800,8637,6,240.0
59020,7867,9,354.28
82097,9931,3,453.75
67440,3173,8,415.87
70593,3958,7,335.45
17777,1181,9,362.63
77930,7172,9,301.66
54349,7731,2,149.78
88594,8337,9,125.37
56852,2662,1,171.25
79325,7763,3,46.0
14256,8516,6,388.63
52588,5465,1,355.19
97393,8363,3,359.65
31281,6678,7,491.69
47911,7539,2,335.89
48826,1479,10,69.11
85367,1036,6,276.0
35646,619,8,349.1
85783,6276,8,221.6
21353,4240,2,394.35
55187,3959,8,156.72
39138,4300,5,448.0
78444,7835,1,340.95
50935,2980,8,137.46
2247,4098,10,46.96
83698,4804,2,44.24
93686,9549,4,290.83
18241,1644,2,276.19
33237,2205,10,134.28
95699,4290,8,311.86
87194,7765,9,355.68
10923,9609,1,460.29
3272,4592,8,496.07
6219,12,6,408.29
53665,8391,1,88.64
10248,1013,1,158.08
54146,2422,8,308.12
43014,2410,3,176.7
15211,7944,8,489.85
5001,3457,9,145.27
99888,3261,8,166.61
51323,5141,2,31.28
28691,378,6,257.17
85998,2201,1,250.68
42801,1987,6,311.7
97897,3697,1,160.72
24688,1413,1,186.37
65351,5773,4,207.56
74237,8338,7,252.85
18031,7828,7,260.09
7705,3913,8,433.53
27359,8010,7,68.12
65150,568,7,312.49
